City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2020-10-11 23:34:17,-54.8,-68.3,46.4,49,20,19.46
1,Sitka,US,2020-10-11 23:35:10,57.05,-135.33,48.2,81,75,6.93
2,Lapi,PH,2020-10-11 23:43:14,17.72,121.9,76.75,88,100,4.85
3,Kattivakkam,IN,2020-10-11 23:40:33,13.22,80.32,80.6,78,75,8.05
4,Arraial Do Cabo,BR,2020-10-11 23:35:17,-22.97,-42.03,70.5,63,65,10.89
5,Nelson Bay,AU,2020-10-11 23:35:38,-32.72,152.15,72.0,60,20,3.36
6,Bilma,NE,2020-10-11 23:43:15,18.69,12.92,80.55,17,0,3.11
7,Poum,NC,2020-10-11 23:36:16,-20.23,164.02,77.61,79,58,12.95
8,Mount Isa,AU,2020-10-11 23:36:03,-20.73,139.5,84.2,18,92,10.29
9,Ngorongoro,TZ,2020-10-11 23:43:15,-3.24,35.49,53.04,64,0,3.67
10,Altay,CN,2020-10-11 23:43:15,47.87,88.12,30.34,84,97,1.12
11,Camana,PE,2020-10-11 23:35:57,-16.62,-72.71,61.88,76,64,3.62
12,Guerrero Negro,MX,2020-10-11 23:35:23,27.98,-114.06,73.15,70,0,18.01
13,Bengkulu,ID,2020-10-11 23:35:29,-3.8,102.27,75.65,85,100,3.4
14,Todos Santos,MX,2020-10-11 23:43:17,23.45,-110.22,84.99,73,6,5.01
15,Keetmanshoop,NA,2020-10-11 23:43:17,-26.58,18.13,56.37,33,0,12.68
16,Port Hardy,CA,2020-10-11 23:35:03,50.7,-127.42,46.4,93,90,20.8
17,Tuktoyaktuk,CA,2020-10-11 23:35:11,69.45,-133.04,26.6,86,90,20.8
18,Punta Arenas,CL,2020-10-11 23:35:00,-53.15,-70.92,48.2,57,20,10.29
19,Kysyl-Syr,RU,2020-10-11 23:43:17,63.9,122.76,21.87,95,53,4.92
20,Mar Del Plata,AR,2020-10-11 23:35:25,-38.0,-57.56,51.8,93,90,12.75
21,Te Anau,NZ,2020-10-11 23:35:28,-45.42,167.72,54.34,84,86,2.93
22,Lusambo,CD,2020-10-11 23:36:32,-4.97,23.45,76.15,65,78,0.18
23,Norman Wells,CA,2020-10-11 23:35:05,65.28,-126.83,30.2,86,90,16.11
24,Touros,BR,2020-10-11 23:35:23,-5.2,-35.46,75.2,83,20,4.7
25,Vaini,TO,2020-10-11 23:35:20,-21.2,-175.2,77.0,78,20,13.87
