City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kapaa,US,2020-10-07 02:18:30,22.08,-159.32,86.0,62,20,5.82
1,Butaritari,KI,2020-10-07 02:18:31,3.07,172.79,82.65,79,13,11.43
2,Puerto Ayora,EC,2020-10-07 02:18:31,-0.74,-90.35,66.99,91,22,3.0
3,Jamestown,US,2020-10-07 02:17:45,42.1,-79.24,60.01,62,1,12.75
4,Mataura,NZ,2020-10-07 02:18:32,-46.19,168.86,46.99,81,100,11.01
5,Lebu,CL,2020-10-07 02:13:57,-37.62,-73.65,46.24,80,0,10.87
6,Bira,RU,2020-10-07 02:18:32,49.0,132.47,49.59,53,2,6.51
7,East London,ZA,2020-10-07 02:16:36,-33.02,27.91,63.72,83,0,5.64
8,Saint-Philippe,RE,2020-10-07 02:18:33,-21.36,55.77,69.8,77,37,2.24
9,Bredasdorp,ZA,2020-10-07 02:18:33,-34.53,20.04,57.2,93,5,2.24
10,Bjerkvik,NO,2020-10-07 02:18:33,68.56,17.52,51.01,96,67,30.0
11,Rikitea,PF,2020-10-07 02:18:33,-23.12,-134.97,74.17,83,100,7.92
12,Pevek,RU,2020-10-07 02:18:34,69.7,170.31,31.8,86,8,4.74
13,Hobart,AU,2020-10-07 02:17:42,-42.88,147.33,61.0,58,20,9.17
14,Mar Del Plata,AR,2020-10-07 02:15:34,-38.0,-57.56,57.99,76,70,4.7
15,Ola,RU,2020-10-07 02:18:34,59.58,151.28,44.76,51,0,8.1
16,Sitka,US,2020-10-07 02:18:34,57.05,-135.33,51.8,76,75,3.36
17,Vaini,TO,2020-10-07 02:18:34,-21.2,-175.2,77.0,88,75,12.75
18,College,US,2020-10-07 02:17:10,64.86,-147.8,42.8,81,75,3.36
19,Lata,PT,2020-10-07 02:18:34,40.16,-8.33,59.0,92,14,1.01
20,Kaitangata,NZ,2020-10-07 02:18:35,-46.28,169.85,45.0,83,100,13.0
21,Broome,US,2020-10-07 02:18:35,42.25,-75.83,59.0,50,90,10.29
22,Mount Gambier,AU,2020-10-07 02:17:25,-37.83,140.77,53.6,93,90,10.29
23,Loubomo,CG,2020-10-07 02:18:35,-4.2,12.67,72.45,89,100,3.47
24,Lipin Bor,RU,2020-10-07 02:18:35,60.26,37.98,52.14,82,100,9.78
25,Albany,US,2020-10-07 02:18:35,42.6,-73.97,55.0,65,23,3.38
26,Upernavik,GL,2020-10-07 02:18:36,72.79,-56.15,19.81,83,55,6.49
27,Busselton,AU,2020-10-07 02:18:36,-33.65,115.33,64.0,68,27,8.99
28,Luderitz,NA,2020-10-07 02:18:36,-26.65,15.16,60.82,70,0,16.55
29,Sao Filipe,CV,2020-10-07 02:14:23,14.9,-24.5,78.6,73,0,4.32
30,Bluff,NZ,2020-10-07 02:18:36,-46.6,168.33,46.99,81,98,11.01
31,Avarua,CK,2020-10-07 02:18:36,-21.21,-159.78,77.0,57,61,18.34
32,Cape Town,ZA,2020-10-07 02:18:10,-33.93,18.42,60.01,93,20,12.75
33,Arraial Do Cabo,BR,2020-10-07 02:18:36,-22.97,-42.03,74.1,95,6,17.56
34,Ushuaia,AR,2020-10-07 02:18:36,-54.8,-68.3,37.4,74,40,21.92
35,Pitimbu,BR,2020-10-07 02:18:37,-7.47,-34.81,75.2,94,8,4.7
36,Bartica,GY,2020-10-07 02:18:37,6.4,-58.62,78.8,88,20,4.7
37,Nanyamba,TZ,2020-10-07 02:18:37,-10.68,39.83,69.8,94,20,1.39
38,Viransehir,TR,2020-10-07 02:18:37,37.24,39.76,66.87,27,0,10.11
39,Esperance,AU,2020-10-07 02:17:48,-33.87,121.9,57.2,67,40,20.8
40,Fukuma,JP,2020-10-07 02:18:37,33.77,130.47,73.99,43,40,10.29
41,Lagoa,PT,2020-10-07 02:18:38,39.05,-27.98,69.08,76,68,13.49
42,Saint George,US,2020-10-07 02:14:35,37.1,-113.58,80.6,7,1,5.82
43,Lima,PE,2020-10-07 02:16:48,-12.04,-77.03,64.4,77,40,8.05
44,Shimoda,JP,2020-10-07 02:18:38,34.67,138.95,69.8,73,75,20.8
45,Vardo,NO,2020-10-07 02:13:46,70.37,31.11,45.0,83,58,14.74
46,Mitu,CO,2020-10-07 02:18:38,1.2,-70.17,71.98,96,57,1.99
47,Gornopravdinsk,RU,2020-10-07 02:18:38,60.05,69.9,27.9,97,22,6.8
48,Jiuquan,CN,2020-10-07 02:18:38,39.74,98.52,55.26,40,100,5.39
49,Forio,IT,2020-10-07 02:18:38,40.73,13.86,66.0,84,91,1.01
